epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,2349.8,0.78891,0.7462,1.22042,0.91769,0.83618,0.91347,0.72377,0.43784,0.38633,0.72531,0.002674,0.002674,0.002674
76,2381.13,0.75498,0.73861,1.17962,0.88775,0.85,0.915,0.71876,0.45568,0.40396,0.7391,0.002575,0.002575,0.002575
77,2412.44,0.76131,0.7078,1.1864,0.85558,0.88861,0.92252,0.70919,0.42896,0.36842,0.72005,0.002476,0.002476,0.002476
78,2443.61,0.75957,0.71071,1.1823,0.9383,0.84375,0.93048,0.72195,0.44053,0.38728,0.72148,0.002377,0.002377,0.002377
79,2474.44,0.7685,0.69384,1.19693,0.94902,0.81439,0.91583,0.71769,0.45851,0.36621,0.73649,0.002278,0.002278,0.002278
80,2505.69,0.75101,0.69881,1.19332,0.92716,0.88125,0.92374,0.73129,0.44716,0.42033,0.74045,0.002179,0.002179,0.002179
81,2536.7,0.73344,0.68504,1.18462,0.95119,0.85263,0.92619,0.73757,0.44594,0.37606,0.74506,0.00208,0.00208,0.00208
82,2567.75,0.74048,0.67674,1.18683,0.904,0.8625,0.92511,0.73248,0.44065,0.41193,0.72525,0.001981,0.001981,0.001981
83,2598.57,0.72951,0.69135,1.17938,0.94282,0.85,0.93197,0.73165,0.43283,0.36486,0.71961,0.001882,0.001882,0.001882
84,2629.57,0.69366,0.66242,1.14274,0.9516,0.86011,0.93885,0.76467,0.40889,0.35054,0.69467,0.001783,0.001783,0.001783
85,2660.69,0.73391,0.6633,1.1755,0.9558,0.85,0.9303,0.74312,0.43691,0.33303,0.70891,0.001684,0.001684,0.001684
86,2691.52,0.70779,0.64586,1.15444,0.91513,0.84375,0.93388,0.74372,0.42184,0.37034,0.70411,0.001585,0.001585,0.001585
87,2722.75,0.70498,0.62259,1.15871,0.9079,0.89375,0.93926,0.75042,0.41447,0.34241,0.70344,0.001486,0.001486,0.001486
88,2753.92,0.71026,0.65821,1.1728,0.94993,0.84375,0.94681,0.75929,0.40546,0.32423,0.69087,0.001387,0.001387,0.001387
89,2784.81,0.7193,0.65351,1.17232,0.96451,0.8375,0.94615,0.75523,0.42207,0.33153,0.71052,0.001288,0.001288,0.001288
90,2815.86,0.69413,0.6383,1.15111,0.92647,0.8875,0.94297,0.75735,0.4182,0.33807,0.71687,0.001189,0.001189,0.001189
91,2877.3,0.53078,0.42004,1.01866,0.92922,0.90256,0.93807,0.7359,0.4494,0.37422,0.74936,0.00109,0.00109,0.00109
92,2908.33,0.5228,0.40411,1.01438,0.91464,0.88125,0.94526,0.75098,0.43674,0.34728,0.72796,0.000991,0.000991,0.000991
93,2938.95,0.50664,0.37258,1.00232,0.94423,0.86875,0.94362,0.74444,0.43109,0.36307,0.73024,0.000892,0.000892,0.000892
94,2970.35,0.52069,0.37705,1.02321,0.93711,0.875,0.94507,0.7595,0.42154,0.33282,0.71764,0.000793,0.000793,0.000793
95,3001.73,0.50222,0.35927,0.99959,0.95258,0.87894,0.95156,0.77008,0.41794,0.29818,0.71626,0.000694,0.000694,0.000694
96,3033.27,0.49786,0.34082,0.99208,0.95267,0.88056,0.94992,0.76896,0.4199,0.32049,0.7083,0.000595,0.000595,0.000595
97,3064.44,0.48951,0.36609,0.98453,0.96337,0.85,0.95486,0.77587,0.42358,0.31457,0.71555,0.000496,0.000496,0.000496
98,3095.58,0.49038,0.33622,1.00032,0.91071,0.89243,0.9536,0.76523,0.4289,0.32248,0.72455,0.000397,0.000397,0.000397
99,3126.83,0.47785,0.32309,0.98751,0.90476,0.89064,0.94479,0.77181,0.41613,0.32802,0.7131,0.000298,0.000298,0.000298
100,3157.94,0.48122,0.34042,0.98159,0.91787,0.88125,0.94978,0.76946,0.41425,0.31771,0.71038,0.000199,0.000199,0.000199
